epochs,loss,acc,val_loss,val_acc
0,0.4011402528733015,0.843684222176671,0.1434524290263653,0.9649122953414917
1,0.17861782852560282,0.9592325054109097,0.14609650298953056,0.9649122953414917
2,0.16594885047525168,0.9620395205914974,0.14217974096536637,0.9649122953414917
3,0.15907597001641988,0.963837756216526,0.14942841678857804,0.9649122953414917
4,0.1549267241731286,0.9643640629947186,0.17262393683195115,0.9649122953414917
5,0.1554807299748063,0.9643859922885895,0.15939169377088547,0.9649122953414917
6,0.15146066714078188,0.9647368632256985,0.15647003501653672,0.9649122953414917
7,0.14890746511518954,0.9647807195782662,0.15765510350465775,0.9649122953414917
8,0.1479890601709485,0.96482457742095,0.15723708868026734,0.9649122953414917
9,0.14901666678488254,0.9648903667926788,0.14697220474481582,0.9649122953414917
10,0.1465742377564311,0.9648903660476208,0.1570127785205841,0.9649122953414917
11,0.1458161897957325,0.9648903660476208,0.15684398934245108,0.9649122953414917
12,0.145746111869812,0.9648903660476208,0.15096571967005729,0.9649122953414917
13,0.14666157942265273,0.9649122953414917,0.15540067479014397,0.9649122953414917
14,0.1438044235110283,0.9649122953414917,0.15221535116434098,0.9649122953414917
15,0.14307536473497748,0.9649122953414917,0.15453124642372132,0.9649122953414917
16,0.14487013388425113,0.9649122953414917,0.15330169275403022,0.9649122953414917
17,0.1440079789608717,0.9649122953414917,0.1521487981081009,0.9649122953414917
18,0.1434613224118948,0.9649122953414917,0.152610382437706,0.9649122953414917
19,0.14319420270621777,0.9649122953414917,0.15410892590880393,0.9649122953414917
20,0.14420693814754487,0.9649122953414917,0.15774364322423934,0.9649122953414917
21,0.14215879552066327,0.9649122953414917,0.14911676496267318,0.9649122953414917
22,0.1430899754166603,0.9649122953414917,0.14854647144675254,0.9649122953414917
23,0.14212051182985305,0.9649122953414917,0.1568884402513504,0.9649122953414917
24,0.1424386477097869,0.9649122953414917,0.1548205256462097,0.9649122953414917
25,0.14263129122555257,0.9649122953414917,0.15589486956596374,0.9649122953414917
26,0.14208748694509268,0.9649122953414917,0.1529755897819996,0.9649122953414917
27,0.14228190556168557,0.9649122953414917,0.14905697405338286,0.9649122953414917
28,0.14143223632127047,0.9649122953414917,0.15201960653066635,0.9649122953414917
29,0.14118600599467754,0.9649122953414917,0.1565660670399666,0.9649122953414917
30,0.14110152423381805,0.9649122953414917,0.14842521026730537,0.9649122953414917
31,0.14169677793979646,0.9649122953414917,0.1503886677324772,0.9649122953414917
32,0.14032900910824536,0.9649122953414917,0.152072574198246,0.9649122953414917
33,0.14131756573915483,0.9649122953414917,0.15440091267228126,0.9649122953414917
34,0.14114513974636794,0.9649122953414917,0.1580147013068199,0.9649122953414917
35,0.14073859378695489,0.9649122953414917,0.14838648065924645,0.9649122953414917
36,0.14103610534220934,0.9649122953414917,0.1442467212677002,0.9649122953414917
37,0.1415091587230563,0.9649122953414917,0.14875070080161096,0.9649122953414917
38,0.14123233705759047,0.9649122953414917,0.15675074160099028,0.9649122953414917
39,0.14135463535785675,0.9649122953414917,0.15486501306295394,0.9649122953414917
40,0.1404792619869113,0.9649122953414917,0.15093474909663201,0.9649122953414917
41,0.14092257749289275,0.9649122953414917,0.1485603556036949,0.9649122953414917
0,0.363097227551043,0.857653521746397,0.14704440534114838,0.9649122953414917
1,0.175561866723001,0.9585965491831303,0.14537256434559823,0.9649122953414917
2,0.16443826984614135,0.9619298703968525,0.14362029805779458,0.9649122953414917
3,0.15740993656218052,0.9630702145397663,0.1485577717423439,0.9649122953414917
4,0.1545728700235486,0.9635526701807976,0.1449028581380844,0.9649122953414917
5,0.15309858024120332,0.9637719631195069,0.1545223817229271,0.9649122953414917
6,0.14995587151497602,0.9644517824053764,0.1583172671496868,0.9649122953414917
7,0.14741892758756875,0.9644956417381764,0.14946866929531097,0.9649122953414917
8,0.1451254216954112,0.9645614311099052,0.14187491983175277,0.9638596713542938
9,0.1442231046035886,0.9650438852608204,0.147958467900753,0.9631579160690308
10,0.1427381381392479,0.9648465216159821,0.14522126838564872,0.9634210705757141
11,0.14017040953040122,0.9650000289082528,0.1415739081799984,0.9628070384263993
